Country,Year,Nuclear,Solar,Wind,Hydroelectricity,"Generation-Geothermal, Biomass and Other",Oil,Coal,Gas
Mexico,1973,0.0,0.0,0.0,0.9879518072289157,0.01204819277108434,0.0,0.0,0.0
Mexico,1974,0.0,0.0,0.0,0.9709302325581395,0.029069767441860465,0.0,0.0,0.0
Mexico,1975,0.0,0.0,0.0,0.9681528662420382,0.03184713375796178,0.0,0.0,0.0
Mexico,1976,0.0,0.0,0.0,0.9664804469273742,0.03351955307262569,0.0,0.0,0.0
Mexico,1977,0.0,0.0,0.0,0.9696969696969696,0.0303030303030303,0.0,0.0,0.0
Mexico,1978,0.0,0.0,0.0,0.9642857142857142,0.03571428571428571,0.0,0.0,0.0
Mexico,1979,0.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.0,0.0,0.0
Mexico,1980,0.0,0.0,0.0,0.9494382022471911,0.050561797752809,0.0,0.0,0.0
Mexico,1981,0.0,0.0,0.0,0.9609375,0.0390625,0.0,0.0,0.0
Mexico,1982,0.0,0.0,0.0,0.9462809917355371,0.05371900826446281,0.0,0.0,0.0
Mexico,1983,0.0,0.0,0.0,0.9366515837104072,0.06334841628959276,0.0,0.0,0.0
Mexico,1984,0.0,0.0,0.0,0.9440000000000001,0.055999999999999994,0.0,0.0,0.0
Mexico,1985,0.0,0.0,0.0,0.2952182952182952,0.016632016632016633,0.5727650727650727,0.040540540540540536,0.07484407484407485
Mexico,1986,0.0,0.0,0.0,0.2136409227683049,0.034102306920762285,0.6108324974924774,0.0641925777331996,0.07723169508525576
Mexico,1987,0.0,0.0,0.0,0.1817325800376648,0.04143126177024482,0.623352165725047,0.0687382297551789,0.0847457627118644
Mexico,1988,0.0,0.0,0.0,0.19429590017825313,0.0409982174688057,0.6185383244206774,0.07219251336898395,0.07397504456327986
Mexico,1989,0.0033277870216306157,0.0,0.0,0.21131447587354407,0.039101497504159734,0.5990016638935108,0.06572379367720466,0.0815307820299501
